indices,nomes,paises
2021-04-13,Christopher Lester,Philippines
2010-02-19,Eric Freeman,Bolivia
2016-02-06,Virginia Wright,Botswana
1997-12-01,Angela Robbins,Romania
1998-06-12,Victoria Mckinney,Bangladesh
2006-10-15,Shannon Leon,Djibouti
2017-03-18,Raymond Henderson,Monaco
2002-12-13,Melanie Powell,Guadeloupe
2006-12-31,Gerald Barton,Qatar
1997-01-19,Shawn Holloway,Nigeria
2013-03-24,Jessica Lindsey,British Virgin Islands
2009-06-19,Laura Ramirez,Dominican Republic
1998-06-17,Stephanie Shepherd,Senegal
2013-12-20,Christopher Bradley,San Marino
1998-06-03,Michael Robbins,Kazakhstan
2020-12-22,Nathan Barnes,Gambia
2002-04-11,Theresa Quinn,Micronesia
2018-10-26,Dillon Brown,Austria
2009-10-31,Ms. Cynthia Wilson,Malawi
2014-10-19,Katherine Johnson,Morocco
1997-11-15,Christopher Jones,Tunisia
2020-06-23,Katherine Sawyer,Greenland
2004-07-31,Harry Bishop,South Georgia and the South Sandwich Islands
2021-11-18,Jacob Keller,Luxembourg
2020-10-17,Amber Cunningham,Sao Tome and Principe
2002-04-02,Karen Bullock,French Guiana
2013-03-20,Adam Miranda,Malawi
1995-11-16,Amy Myers PhD,Turkey
2017-01-26,Lori Ayers,Canada
1995-09-08,Michael Lewis,Thailand
2014-06-16,Allison Williams,French Southern Territories
2013-08-26,Brendan Gardner,Korea
2005-12-03,Kari Brown,Belize
2011-04-10,Michelle Hughes,Bahrain
2015-03-31,Rhonda Armstrong,Equatorial Guinea
2018-12-01,Anthony Neal,Saint Barthelemy
1995-04-27,Monica Bowen,Lithuania
2014-10-02,Theresa Morse,Bahamas
2016-10-09,Keith Taylor,Senegal
2017-10-04,Sarah Black,New Caledonia
2005-08-04,Maria Perez,Pakistan
1997-07-04,Robert Castro,India
2018-01-06,April Johnson,Paraguay
2014-01-04,Robert Burnett,Congo
1997-04-17,Sean Powell,Moldova
2008-04-15,Christopher Walker,Libyan Arab Jamahiriya
2024-01-06,Keith Miller,Palau
2022-12-01,Elizabeth Cunningham,Monaco
2000-09-17,Brandon Braun,Belize
1996-09-09,Gregory Shepherd,United States Minor Outlying Islands
2020-08-31,Johnathan Flores,Guernsey
2024-03-07,Mark Stevens,Kuwait
2004-08-11,Susan Smith,Slovenia
2019-03-27,Melissa Adams,American Samoa
2017-03-11,Jessica Flores,Cook Islands
2011-07-15,Marvin Banks,Iraq
1994-07-23,Andre Goodwin,Reunion
1995-11-14,Jack Stephens,Timor-Leste
2021-10-24,Kevin Olson,Pitcairn Islands
2006-03-12,Miguel Harper,Netherlands Antilles
2014-04-24,Richard Davis,Germany
1998-03-15,Kelsey Thomas,France
1999-08-28,Melissa Fry,Eritrea
2008-08-02,Joshua Morse,Japan
2002-02-05,Sandra Olson,Indonesia
2019-04-06,Jenny Walker,Tuvalu
2000-10-22,Michelle Sanchez,Faroe Islands
2017-01-22,Cristian Jackson,Zambia
2004-05-24,Brenda Collier,United Kingdom
2000-04-25,Joshua Wright,Belize
2001-05-06,Julie Marks,Guam
2024-01-21,Anthony Patton,Guatemala
2018-07-18,Cynthia Bender,El Salvador
2013-05-24,Kristy Meyer,Kazakhstan
1995-03-06,Nathaniel Miller,United States Minor Outlying Islands
2004-01-13,Andrew Cross,Greece
1997-11-26,Katrina Church,Gabon
2010-02-16,Connie Clark,Saint Kitts and Nevis
1996-01-04,Mary Harmon,Liechtenstein
2015-09-14,Michael Holloway,Nepal
2009-04-13,Rachel Lewis,Russian Federation
2002-02-08,Stephanie Clark,Bulgaria
2014-06-20,Ryan Nunez,Bahrain
2014-03-16,Michael Underwood,Saint Lucia
2013-11-25,Crystal Thomas,Bouvet Island (Bouvetoya)
2015-08-09,Dorothy Day,Italy
2017-08-08,Melissa Schultz,New Caledonia
2015-03-06,Darryl Arnold,Mozambique
2012-07-26,Tyrone Carr,Zimbabwe
2007-11-22,Martin Brown,Colombia
2018-09-25,Susan Wilkins,Guadeloupe
2022-05-07,Kristy Lopez,Malta
2015-05-30,Daniel Schultz,Puerto Rico
2004-11-18,Miguel Logan,Mayotte
2016-07-17,Paul Thomas,French Southern Territories
2003-10-24,Laura Wolfe,Wallis and Futuna
2006-03-31,Dr. Nancy Willis,Saint Lucia
2001-04-01,Zachary Chang,Swaziland
2020-05-10,Victoria Graham,United States Minor Outlying Islands
1997-03-29,Jeffery Dennis,Greenland
2007-05-03,Christopher Richmond,Guyana
2005-04-15,Edward Bauer,Zimbabwe
2008-10-19,Alexander Mack,Lebanon
2019-11-30,Heather Stone,Grenada
1998-06-22,Christopher Berry,Sri Lanka
2014-12-26,James Fisher,Iraq
2020-01-22,Jeremy Cherry,Algeria
2013-07-14,Reginald Goodwin,United States Virgin Islands
2005-02-22,Kelsey Harris,Sudan
2001-03-17,Melinda Collins,Peru
2005-07-17,Charles Brown,Guatemala
2017-11-01,Ann Rodriguez,Palestinian Territory
2018-06-21,James Wood III,Burundi
2005-09-02,Rebecca Stevens,South Africa
2004-02-28,Sharon Guzman,Burundi
1998-04-02,Jessica White,Slovenia
2019-03-02,Paul Burnett,Morocco
2003-05-18,Gary Marshall,Nauru
2018-12-07,Heather Alvarado,Canada
2008-11-28,Jose Cabrera,Cape Verde
1995-05-07,Jacob Rivera,Vietnam
2019-01-08,Shelly Knapp,Morocco
2011-03-17,Tanya Brandt,Lesotho
2013-01-11,Edgar Snow,Brazil
2019-05-10,Andrea Carson,Bangladesh
2010-05-30,Michelle Villanueva,Madagascar
2006-02-08,Jasmine Newton,Taiwan
2012-01-13,David Young,Nepal
2015-11-21,Laura Ramirez,Ukraine
2010-01-09,Alexander Zimmerman,Bosnia and Herzegovina
2009-07-04,Angela Bates,Sao Tome and Principe
1999-01-22,Rachel Griffin,Armenia
2001-12-22,Jacob Adams,Libyan Arab Jamahiriya
2014-08-24,Mark Ramirez,Botswana
2007-05-31,Jennifer Guzman,Denmark
1997-09-08,David Bowman,Guinea
2013-08-17,Natasha Cruz,Dominican Republic
2000-12-08,Joyce Lozano,United States Virgin Islands
1999-09-08,Rhonda Bailey,Montserrat
2001-08-13,Elizabeth Boyd,Luxembourg
2022-05-18,Lauren Lee,Andorra
1994-12-17,Dr. Kimberly Daniel DDS,Taiwan
2020-12-02,Ronald Sellers,Heard Island and McDonald Islands
1999-02-16,David Khan,Austria
2020-07-26,Sara Moore,South Africa
2002-04-06,Mrs. Patricia Tyler MD,Somalia
2024-02-05,Sylvia Griffith,Saint Martin
2006-03-22,Raymond Simon,Chile
2008-06-22,Tonya Wilson,Tokelau
2014-11-09,Eric Potter,Kyrgyz Republic
2019-11-24,Anna Campbell,Saint Pierre and Miquelon
2000-09-24,David Jennings,Croatia
1998-03-11,Bradley Montes,Angola
1998-12-28,Roberto Johnson,Saint Barthelemy
2000-10-12,Stephanie Adams,Azerbaijan
2021-08-12,Joshua Lawson,United States of America
2023-06-16,Shannon Russell,Montserrat
1996-10-15,Steven Brown,French Southern Territories
2015-03-14,Nicholas Li,Moldova
1996-06-18,Diana Forbes,Micronesia
2005-01-11,David Grant MD,Cocos (Keeling) Islands
1995-06-03,Jack Harris,Palestinian Territory
1999-06-12,Brianna Chapman,Bermuda
2022-01-31,Kevin Hall,Chad
2009-04-14,Melissa Green,Martinique
1997-08-09,Dean Fox,Montserrat
1999-06-06,Stephen White,Croatia
2004-09-26,David Pena,Cook Islands
2009-07-23,Paul Murray,Mauritius
2012-03-14,Joseph Ryan,Nepal
1995-07-29,Lawrence Sanchez,Grenada
2002-06-24,Amy English,San Marino
1999-03-05,Dr. Katherine Robertson DDS,French Polynesia
1998-11-13,John Jackson,Palau
2012-03-24,Tina Avery,Wallis and Futuna
2020-06-26,Mr. Patrick Williams,United Kingdom
2000-10-31,Morgan Carter,Brazil
2004-04-27,William Estes,Bulgaria
2005-12-26,Pamela Davis,Antarctica (the territory South of 60 deg S)
2024-04-04,Juan Vaughn,Zambia
2017-09-13,Anna Cooper,Western Sahara
2007-05-31,Ebony Stewart,Burundi
1998-07-24,Michelle Myers,Malta
2006-04-19,Samantha Thomas,Guyana
1996-08-09,Timothy Edwards,Congo
2016-04-06,Megan Heath,American Samoa
2002-03-24,Deborah Logan,Albania
2012-09-10,John Campbell,Ethiopia
2011-06-09,William Davis,Czech Republic
1999-10-16,Wendy Davis,Palestinian Territory
1997-03-16,Megan Pratt,Mauritius
2021-07-01,Dawn Mitchell,Cambodia
2012-10-04,Ronald Ross,United States Virgin Islands
2009-09-06,Christopher Medina,Greenland
2002-02-20,Judith Parks,Tokelau
2012-02-01,Michael Friedman,Maldives
2021-02-20,Mr. Justin Thomas II,United Arab Emirates
2007-01-07,Samuel Martinez,Martinique
2007-03-31,Marc Fletcher,Saint Vincent and the Grenadines
2009-08-23,Nicholas Burns,Timor-Leste
2013-05-06,Alison Anderson,Slovakia (Slovak Republic)
2018-04-01,Alex Patterson,Pakistan
2012-05-03,Melinda Tanner,Central African Republic
2010-11-03,Dr. Bradley Martin Jr.,Dominican Republic
2023-01-28,Rachel Day,American Samoa
2018-03-30,Julia Lawson,Croatia
2013-05-30,Mr. Benjamin Gibson,Poland
1998-09-07,Patricia Dominguez,Bosnia and Herzegovina
1997-03-22,Nathan Green,Central African Republic
2010-10-29,Denise Goodman,Albania
2013-05-13,Bethany Bush,Jamaica
2001-02-11,Mark Hall,Ecuador
2011-10-13,Michelle Green,Togo
2007-06-29,Richard Mitchell,Solomon Islands
2017-11-07,Janice Evans,Antarctica (the territory South of 60 deg S)
2004-04-16,Stephanie Walker,Haiti
2006-02-13,Samantha Sanders,Wallis and Futuna
2023-07-17,Cindy Gillespie,Liberia
2004-04-01,Charles Mitchell,Central African Republic
2022-05-03,Lisa Taylor,Luxembourg
2004-04-11,Bradley Hernandez,Trinidad and Tobago
2009-05-13,Kenneth Bell,Yemen
2015-08-22,Jeffrey Rose,British Indian Ocean Territory (Chagos Archipelago)
2016-01-18,Chris Ford,Reunion
2009-04-29,Michelle Lopez,Gabon
1996-04-30,Kristine Smith,Canada
2008-09-15,Jason Rogers,Azerbaijan
2015-03-12,Cindy Hunter,Canada
2012-05-14,Allen Harris,Liechtenstein
1997-06-27,Dylan Thompson,South Georgia and the South Sandwich Islands
1997-03-01,Jean Harrington,Sao Tome and Principe
2002-01-01,Jonathan Orr,Burundi
2004-02-27,Jennifer Lang,China
2014-01-07,Paula Ortiz,French Polynesia
2003-05-26,Rhonda Jarvis,Kyrgyz Republic
2011-12-14,Taylor Hendrix,Finland
2020-10-06,John Swanson,Myanmar
2012-07-18,Nicole Rodriguez,Bolivia
2023-12-11,Jacob Wright,Argentina
2016-03-19,Tiffany Williams,Liechtenstein
2019-03-17,Rebecca Powell,Vanuatu
2022-05-12,Christine Kemp,Vietnam
2003-05-28,Joyce Black,Rwanda
1999-05-15,Ms. Heather Park,Hungary
2008-05-25,Tina Pollard,United States of America
2022-06-05,Susan Aguirre,Saint Pierre and Miquelon
1995-10-27,Rachel Garcia,Belgium
2005-11-30,Jacqueline Owens,Cook Islands
2000-05-21,Jessica Hinton,Greece
2014-03-07,Anthony Briggs,Seychelles
2006-06-01,Amy Schultz,Equatorial Guinea
2021-04-20,Laura Jones,Western Sahara
2008-07-20,Jonathan Parsons,Afghanistan
1997-12-22,Debbie Beck,Tuvalu
2014-01-14,Christina Pierce,Aruba
1996-10-29,Lonnie Jones,Belgium
2021-12-22,Erica Boyd,Papua New Guinea
2008-03-27,Christopher Morales,British Indian Ocean Territory (Chagos Archipelago)
2010-06-02,Brandon Jackson,Nepal
2008-05-11,Leah Thompson,Philippines
1999-04-12,Mary Wood,Nauru
2013-11-14,Randall Pearson,Bosnia and Herzegovina
2012-10-30,Jennifer Carrillo,Greenland
2024-03-25,Amy Walls,South Africa
2016-07-31,John Chapman,Denmark
2009-06-08,Ronald Valdez,Gambia
1995-12-29,Kimberly Alexander,Gabon
2014-01-28,Jeffrey Peterson,Rwanda
2023-07-06,Jason Brown,Congo
2019-05-30,William Strong,Argentina
2003-04-23,Lauren Graham,Cape Verde
2021-07-28,Billy Newman,Chile
2003-10-25,Connor Phillips,British Virgin Islands
2021-02-09,Sarah Carlson,Kazakhstan
1996-05-08,Jacob Oliver,Albania
2023-06-18,Kaitlyn Smith,Qatar
2019-05-09,Jonathan Dominguez,Marshall Islands
1998-07-02,Michele Obrien,Guinea
2022-11-22,Regina Nichols,New Caledonia
1996-06-28,Susan Snyder,Indonesia
2018-12-06,Mark Fernandez,Marshall Islands
2012-08-15,Dustin Mays,British Indian Ocean Territory (Chagos Archipelago)
2011-09-16,Shelly Johnson,Eritrea
2007-01-17,Jennifer Marks,Finland
2009-01-07,Richard Fleming,Yemen
2011-05-23,Frank Holloway,Libyan Arab Jamahiriya
2015-05-24,Rachael Thomas,Djibouti
2020-09-10,Mr. Danny Thompson,Turks and Caicos Islands
1999-10-13,Robert Bennett,Isle of Man
2020-04-16,Lacey Ross,Serbia
2021-12-10,Terry Lopez,Dominica
2010-07-05,Deborah Medina,Jersey
2002-06-29,Joseph Clark,Brunei Darussalam
2022-01-09,Johnny Merritt,Hong Kong
1997-08-04,Sarah Adams,Grenada
1999-12-25,Jack Cochran,Angola
2005-01-14,Eric Griffith,Malaysia
2023-01-01,Brenda Wood,American Samoa
1995-07-23,Crystal Ramirez,Israel
1998-11-26,Amber Gonzalez,Fiji
2022-10-12,Gordon Snow,Honduras
1995-01-15,Paul Berg,Greece
2008-08-06,Steven Nelson,Yemen
2013-01-09,Teresa Diaz,Cape Verde
2001-08-02,Kristy Brown,Cambodia
2006-08-06,Leah Curry,Jordan
2010-05-12,Steven Thornton,Libyan Arab Jamahiriya
2003-08-20,Teresa Boyer,New Caledonia
2023-07-09,Charles Buchanan,Mayotte
2006-10-06,Jenna Hines,Saint Barthelemy
2013-12-16,Samantha Wise,Montenegro
2007-05-24,Benjamin Thompson,Saint Lucia
2005-10-22,Jacqueline Elliott,Spain
2022-01-09,Stephanie Thomas,Guyana
2023-01-10,Cynthia Wood,Jersey
2014-05-14,Andrew Melton,Thailand
2013-11-15,Zachary Schultz,Eritrea
2006-02-02,Amber Carroll,Japan
2010-09-01,James Sutton,Guinea-Bissau
1997-01-27,Cynthia Wilson,Bosnia and Herzegovina
2007-04-24,Erica Baker,Slovenia
2012-07-22,Connie Moran,Pitcairn Islands
2019-04-09,James Nixon,Cuba
2020-10-21,Melissa Case,Bahamas
2013-03-12,William Carson,Cook Islands
2010-10-20,Wendy Smith,Uzbekistan
2012-05-13,Connor Robbins,Albania
2018-06-09,Blake Jones,Cyprus
2022-04-14,Richard Davis,Serbia
2010-12-07,Erica Johnson,French Polynesia
2010-08-26,Danny Vargas,South Georgia and the South Sandwich Islands
1999-07-06,Molly Richardson,Zimbabwe
2015-04-06,Sharon Gilbert,Armenia
1999-02-07,Tyler Palmer,San Marino
2010-01-23,Sara Johnson,New Caledonia
1999-01-10,Brenda Smith,Singapore
1995-12-14,Courtney Booth,Botswana
1998-11-22,Laura Higgins,Antigua and Barbuda
2005-07-09,Alyssa Robles,French Southern Territories
2006-10-11,Christopher Thompson,Monaco
2014-09-01,Douglas Booth,Botswana
2008-05-04,Sarah Phillips DDS,British Indian Ocean Territory (Chagos Archipelago)
2003-05-10,Cameron Smith,Montserrat
2021-06-10,Emily Aguirre,Malta
2022-07-30,Janice Woods,Guatemala
2000-07-10,John Hamilton,Australia
2008-09-21,Angela Shepard,Syrian Arab Republic
2016-07-14,Travis Green,Canada
1998-10-10,Carrie Washington,Somalia
1995-06-13,Eric Lewis,Mongolia
2004-01-05,Debbie Higgins,Rwanda
2015-05-26,Thomas Martin,Canada
2003-10-24,Blake Le,Reunion
2003-01-27,Ian Wilson,Switzerland
2015-04-27,Nicholas Moore,Cameroon
2017-11-19,Gabrielle Gilbert,Cape Verde
2006-08-16,Timothy Miles,Cyprus
2000-03-26,Peggy Payne,Saint Helena
2022-11-10,Trevor Drake,Spain
1994-11-05,Sarah Parrish,Niger
2009-02-13,Courtney Jones,Pitcairn Islands
2000-03-16,Erica Velez,Nicaragua
1994-09-24,Sean Miller,Equatorial Guinea
1998-04-05,Crystal Hunter,Equatorial Guinea
1996-05-17,Tanya Williams,Puerto Rico
2019-10-24,Austin Hughes,Mayotte
2014-05-21,Glenn Morris,Guam
2024-04-18,Thomas Blanchard,Colombia
1996-04-16,Jacob Poole,El Salvador
2010-04-01,Theresa Perez,Madagascar
1995-12-24,Kelly Stevens,Lao People's Democratic Republic
2004-01-27,Joshua Cox,Falkland Islands (Malvinas)
2004-08-03,Dana Contreras,Chile
2013-04-29,Scott Lee,United Kingdom
2001-09-10,Andrew Ortega,Moldova
2015-02-27,Brenda Ho,Guinea
2018-11-06,Cindy Smith,Togo
1995-01-26,Connor Kennedy,Chile
2006-12-04,Carol Lewis,Yemen
1995-09-16,Anthony Reed,Guam
1999-09-14,Amy Jackson,Romania
2021-01-10,Scott Maldonado,Jersey
2022-01-09,Hannah Vega,Papua New Guinea
1997-01-04,Sarah Burton,Egypt
2010-03-26,Christopher Johns,Togo
2020-01-31,Tyler Trujillo,Puerto Rico
1995-05-10,Lucas Gillespie,Barbados
2003-10-15,Tonya Olsen,Luxembourg
1995-12-22,Tracy Harris,Philippines
2017-06-08,Krista Edwards,Turks and Caicos Islands
2015-08-16,Elizabeth Sims,Eritrea
2010-11-23,Shelly Hahn,Dominican Republic
2007-10-13,Jennifer Mccarthy,Falkland Islands (Malvinas)
2001-05-24,Joshua Hampton,Rwanda
1999-02-12,Beth Simmons,Malawi
2020-05-07,Philip Robinson,Barbados
2004-10-10,Oscar Dean,Cayman Islands
2007-05-11,Claire Cox,Saint Barthelemy
1999-10-08,James Williams,Cape Verde
2009-11-15,Daniel Adams,Slovenia
2022-04-05,Timothy Mendoza,Czech Republic
1998-07-16,Sarah Lee,Uzbekistan
1996-04-03,Matthew Cooper,Sao Tome and Principe
2017-05-13,Martin Thomas,Moldova
1996-05-16,Robin Johnson,Nigeria
2007-11-13,Jeffrey Green,Northern Mariana Islands
1998-11-18,Andrea Hill,Burundi
2004-07-29,Amanda Donaldson MD,Pakistan
2020-01-19,Michael Richardson,Romania
2012-12-17,Michael Johnson,Colombia
2005-08-27,Edward Gill,Anguilla
2017-10-01,Michelle Mueller,Samoa
2012-09-24,Margaret Garcia,Tonga
2015-05-04,Matthew James,Saint Vincent and the Grenadines
2003-09-20,Max Matthews,Austria
1999-07-14,Christina Austin,Wallis and Futuna
1998-07-27,Laura Mcdaniel,Ukraine
2016-06-22,Kelly Matthews,Tunisia
2016-03-03,Ashley Nelson,Tokelau
2009-04-29,Gloria Reese,Hungary
2000-04-02,Stephen Vazquez,Guinea
2003-03-16,Alexander Garcia,Western Sahara
1995-11-23,Kristen Salazar,Honduras
2008-03-25,Corey Andrews,Tanzania
2014-11-08,Charles Montoya,Slovenia
2012-03-10,Chad Jones,Lebanon
2015-08-15,Dylan Coleman,Falkland Islands (Malvinas)
2005-12-05,Edward White,Slovenia
2023-10-05,Lisa Lopez,Saint Helena
2007-09-24,Johnathan Vasquez,Bulgaria
2021-09-20,Valerie Ryan,Puerto Rico
2020-05-13,Arthur Anderson,Norway
2021-08-26,Hannah Owens,Lao People's Democratic Republic
2007-05-27,Roger Mcconnell,Central African Republic
1996-08-19,Mrs. Rebecca Duke DDS,Libyan Arab Jamahiriya
2010-07-15,Ryan Gonzales,Mauritania
1996-12-20,Katherine Davis,Greece
1997-07-15,Steven Morales,Egypt
2007-02-10,Nancy Wilkerson,Indonesia
2001-11-01,Hannah Logan,Philippines
2004-08-11,Joshua Berry,Sweden
2019-09-20,Daniel Robinson,Iceland
2005-09-09,Kellie Foster,Gabon
1996-05-18,Ellen Mullins,Lesotho
1995-02-16,Jenna Dickerson,Tanzania
2012-05-20,Yvette Miller,Nepal
2020-07-19,Christopher Delgado,Mongolia
1994-09-28,Rebecca Oconnor,Belgium
2003-09-13,Jennifer Butler,Saint Helena
2014-12-26,Ryan Vaughan,Hong Kong
2021-08-30,Keith Lucas,Bahrain
2010-08-17,Jesus Turner,Georgia
1994-10-18,Phyllis Stewart,British Virgin Islands
2007-01-16,Earl Clark,Jersey
2021-01-27,Joshua Diaz,Albania
1996-02-01,Mark Patterson,Costa Rica
2012-09-15,Heather Wilson,San Marino
2007-10-10,Gabriel Clark,Botswana
2021-01-30,Matthew Rivera,Egypt
1996-11-19,Tracy Cline,Switzerland
2016-11-11,Deborah Williamson,Macao
2015-02-16,Keith Baker,Brazil
2023-10-31,Matthew Williams,Yemen
2009-08-02,Michael Ibarra,Libyan Arab Jamahiriya
2019-12-04,Eric Garcia,Somalia
2005-03-24,Carolyn Smith,Netherlands Antilles
2018-02-07,Eric Boyd,Brazil
2002-02-16,Jonathan Gardner,Peru
2009-07-09,Anna Higgins,Burkina Faso
2002-10-01,Amy Ward,Sao Tome and Principe
2019-10-29,Elizabeth Thompson,Finland
2019-08-07,Bryan Ford,Thailand
2004-04-29,Jennifer Davidson,Niger
2010-04-06,Rachel Hernandez,Israel
2009-09-05,Patrick Mayer,Panama
2013-11-27,Paul Jimenez,Morocco
2012-04-03,Robert Savage,Tuvalu
2016-06-30,William Cruz,Egypt
2017-01-12,Joshua James,Senegal
2013-11-11,Margaret Miller,Paraguay
2008-02-16,Andrew Jennings,Uganda
2000-08-04,Zachary Brady,Saint Kitts and Nevis
2004-07-05,Tara Ashley,Latvia
2010-04-23,Hannah Bowen,Afghanistan
1996-01-16,Joanne Osborne,Vanuatu
2019-05-15,Theresa Shannon,Philippines
2012-09-16,Tiffany Rivers,Liechtenstein
2007-02-09,Philip Lawson,Lebanon
2019-02-25,Amy Owens,Norway
2015-07-24,Christine Murray,Hong Kong
2012-09-25,Samantha Pope,Antigua and Barbuda
2008-08-08,Julie Walker,Tunisia
2009-11-09,David Johnson,United Arab Emirates
2005-06-15,Angela Aguilar,Nigeria
2011-10-08,Laura Hardy,Saint Vincent and the Grenadines
2005-04-11,David Pratt,Jersey
2008-05-16,Cheryl Nelson,Saint Barthelemy
1998-12-29,Donald Yang,Grenada
2000-10-07,Nancy Ortiz,Thailand
2023-04-17,Tasha Ruiz,Gibraltar
2014-06-22,Erin Wallace,Russian Federation
2012-04-15,Evan Mcneil,Micronesia
1997-03-16,Ms. Jasmine Martin,Seychelles
2021-03-15,Marcus Hall,Senegal
1998-05-15,Douglas Delgado,Martinique
2016-06-29,Alexandria Gomez,Hong Kong
1996-06-11,Jeanne Coleman,Isle of Man
2004-10-25,Sarah Goodwin,Singapore
2000-10-05,Charles Turner,Denmark
2004-09-20,Michael Richardson,Benin
2014-04-08,Amy Griffin,United Arab Emirates
2013-08-29,Joan Campos,India
2007-08-06,Phyllis Gallegos,Senegal
2003-10-11,Caleb Evans,Saudi Arabia
2007-01-26,Robin Delgado,Zimbabwe
2008-04-18,Ryan Long,Indonesia
2004-01-25,Christopher Mercer,Japan
1997-09-28,Ashley Pacheco,Saudi Arabia
2019-09-04,Jeffrey Reynolds,Cook Islands
2014-03-19,Kristen Zavala,Saint Martin
2000-12-02,Karen Turner DDS,Jordan
2005-08-24,William Chavez,New Caledonia
2023-08-01,Kelly Anderson,Lao People's Democratic Republic
2012-05-10,Kevin Smith,Kazakhstan
2004-07-07,Vincent Alexander,Tunisia
2013-12-17,Heidi Haley,Brazil
2006-04-16,Denise Page,Ireland
2021-12-07,Corey Knapp,Madagascar
2000-01-31,Jerry Cole,Niue
1996-05-19,James Mccormick,San Marino
2016-03-17,Susan Schultz,Saint Pierre and Miquelon
2020-09-05,Jacob Simmons,Somalia
2008-03-28,Deanna Miller,Angola
2020-04-25,Monica Davis,Cyprus
2018-07-14,Crystal Taylor,Mexico
1999-07-01,Gary Mcdonald,Seychelles
2019-12-04,Jessica Robinson,Zambia
2008-11-29,Cameron Hale,Kyrgyz Republic
2000-07-26,Jonathan Reid,Tanzania
2003-04-02,Roy Allen,Central African Republic
2018-07-10,Robert Armstrong,Lithuania
2023-06-18,Jennifer Gibson,Cambodia
2006-10-14,Elizabeth Kelly,Croatia
1997-02-23,Teresa Cruz,Armenia
1995-06-27,Matthew Luna,Germany
2000-10-12,Amanda Moore,Vanuatu
2017-02-21,Tyler Rodriguez,Bhutan
2023-10-07,Jessica Wheeler,Uruguay
2002-12-24,Bobby Smith,Martinique
2009-11-27,Nicholas Ballard,Cayman Islands
2014-06-23,Miguel Collins,Norfolk Island
2022-01-05,William Warren,Belarus
1996-05-30,Linda Jones,Mali
2021-07-08,Laura Sullivan,Malaysia
2009-05-01,Michelle Trevino,Mauritius
2020-07-23,Eddie Johnson,Taiwan
2021-12-17,Christian Lyons,Qatar
2001-11-04,Alicia Dean,Macedonia
2001-10-16,Judith Baldwin,Lebanon
2001-08-16,Richard Payne,Sudan
2021-06-07,Jeffrey Valdez,Slovakia (Slovak Republic)
2011-03-01,Andrew Long,Kazakhstan
2000-01-25,Justin Dunlap,Antarctica (the territory South of 60 deg S)
1998-09-30,Spencer Pitts,Faroe Islands
1996-09-23,Shane Anderson,Saudi Arabia
2008-09-25,Jeanette Martin,Saint Lucia
2004-11-10,Alexis Miller,Equatorial Guinea
2015-10-29,Cassandra Miller,Hong Kong
1999-08-06,Kelli Harris,Netherlands Antilles
2016-01-17,Kim Stone,Rwanda
2020-08-31,Christopher Morales,Saint Martin
2008-01-27,Jenny Reynolds,Norfolk Island
2000-06-13,David Robinson,Netherlands Antilles
2013-02-21,John Joseph,Czech Republic
1997-11-10,Makayla Wallace,Estonia
1998-12-31,Teresa Williams,Saint Martin
1997-05-23,Tracey Suarez,Dominican Republic
2020-10-13,Anthony Reyes,Malawi
2010-04-14,Jeremy Castro,Mauritania
2012-11-29,Jonathon Peterson,Saint Vincent and the Grenadines
